SOEM (Simple Open EtherCAT Master)
Simple test
Starting simple test
ec_init on eno3 succeeded.
1 slaves found and configured.
Found slaves with DC.
Slaves mapped, state to SAFE_OP.
segments : 1 : 20 0 0 0
Request operational state for all slaves
Calculated workcounter 3
Operational state reached for all slaves.


CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   71, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   72, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   73, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   74, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   75, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   76, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   77, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   78, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   79, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   80, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   81, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   82, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   83, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   84, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   85, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   86, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   87, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   88, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   89, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   90, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   91, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
CoE: 0x0 (Requesting: Ready to Switch-On) Processdata cycle   92, WKC: 3 , MS: 8000b100, Pos: 500 T: 1977794072 dt:          0
